Date,Day of Week,Ride ID Number,Total Pay,Tip,Bonus,Base Pay,Stop In Ride,Start Time,End Time,Estimated Booked Time,Actual Booked Time,Distance Estimated,Distance Actual,Passenger Payment
8/22/2025,Friday,1262,$10.10 ,$2.00 ,$2.70 ,$5.40 ,No,4:54 PM,5:21 PM,17,19,5.63,6,$12.94 
8/22/2025,Friday,1263,$12.16 ,$0.00 ,$5.05 ,$7.11 ,No,4:37 PM,5:01 PM,23,24,7.12,7.19,$9.71 
8/22/2025,Friday,1264,$10.06 ,$0.00 ,$3.35 ,$6.71 ,No,4:19 PM,4:37 PM,19,18,5.21,5.12,$14.22 
8/22/2025,Friday,1265,$6.51 ,$1.50 ,$0.00 ,$5.01 ,No,4:01 PM,4:18 PM,12,14,2.16,2.67,$7.00 
8/22/2025,Friday,1266,$11.17 ,$0.00 ,$3.72 ,$7.45 ,No,3:45 PM,4:04 PM,17,19,8.6,8.63,$16.96 
8/22/2025,Friday,1267,$7.15 ,$0.00 ,$1.19 ,$5.96 ,No,3:26 PM,3:45 PM,20,19,5.7,5.79,$8.50 
8/22/2025,Friday,1268,$6.10 ,$0.00 ,$1.02 ,$5.08 ,No,3:08 PM,3:26 AM,18,18,6.81,7.17,$8.99 
8/23/2025,Saturday,1269,$12.42 ,$1.62 ,$3.75 ,$7.05 ,Yes,4:15 PM,4:57 PM,20,42,6.83,9.44,$18.00 
8/23/2025,Saturday,1270,$9.08 ,$0.00 ,$3.18 ,$5.90 ,No,5:01 PM,5:22 PM,18,21,6.67,6.5,$16.72 
8/23/2025,Saturday,1271,$9.29 ,$0.00 ,$1.53 ,$7.76 ,No,5:29 PM,5:54 PM,25,25,9.29,9.17,$14.80 
8/23/2025,Saturday,1272,$16.17 ,$10.00 ,$1.03 ,$5.14 ,No,5:54 PM,6:15 PM,18,22,6.63,6.8,$11.96 
8/23/2025,Saturday,1273,$20.27 ,$4.75 ,$1.37 ,$14.15 ,No,6:23 PM,6:59 PM,30,36,17.1,17.16,$20.27 
8/23/2025,Saturday,1274,$3.44 ,$0.00 ,$0.00 ,$3.44 ,No,6:49 PM,7:10 PM,7,11,1.44,1.67,$7.94 
8/19/2025,Tuesday,1261,$5.42 ,$0.00 ,$1.25 ,$4.17 ,No,2:44 PM,3:01 PM,14,17,5.19,5.15,$12.66 
8/19/2025,Tuesday,1260,$11.28 ,$0.00 ,$2.55 ,$8.73 ,No,3:26 PM,3:56 PM,31,30,11.78,11.6,$19.81 
8/19/2025,Tuesday,1259,$8.11 ,$0.00 ,$4.95 ,$3.16 ,No,3:57 PM,4:08 PM,12,11,2.97,2.74,$8.55 
8/19/2025,Tuesday,1258,$12.12 ,$0.00 ,$2.02 ,$10.10 ,No,4:10 PM,4:45 PM,32,36,12.91,12.79,$23.78 
8/19/2025,Tuesday,1257,$7.24 ,$0.00 ,$4.54 ,$2.70 ,No,4:55 PM,5:08 PM,11,13,4.12,4.12,$9.92 
8/15/2025,Friday,1255,$5.14 ,$0.00 ,$0.86 ,$4.28 ,No,9:32 PM,9:45 PM,13,13,4.83,4.75,$11.66 
8/15/2025,Friday,1254,$6.36 ,$0.00 ,$1.03 ,$5.33 ,No,9:45 PM,10:13 PM,20,28,7.55,10.1,$14.84 
8/15/2025,Friday,1253,$8.16 ,$0.00 ,$1.36 ,$6.80 ,No,10:23 PM,10:51 PM,27,28,13.22,13.3,$14.89 
8/15/2025,Friday,1252,$7.84 ,$0.00 ,$4.55 ,$3.69 ,No,10:51 PM,11:02 PM,3,10,0.86,0.91,$9.43 
8/15/2025,Friday,1251,$9.09 ,$0.00 ,$6.00 ,$3.09 ,No,11:19 PM,11:28 PM,9,9,3.04,3,$18.86 
8/12/2025,Tuesday,1255,$5.68 ,$1.49 ,$0.00 ,$4.19 ,No,23:28,23:47,13,19,5.6,6.41,$9.96 
8/12/2025,Tuesday,1254,$7.59 ,$0.00 ,$1.17 ,$6.42 ,Yes,3:43 PM,4:09 PM,21,26,6.95,7.1,$15.57 
8/15/2025,Friday,1256,$6.22 ,$2.00 ,$0.70 ,$3.52 ,No,9:20 PM,9:32 PM,11,12,3.61,3.5,$9.71 
8/25/2025,Sunday,1275,$5.14 ,$0.00 ,$0.00 ,$5.14 ,No,4:46 PM,5:03 PM,17,18,6.63,6.51,$9.73 
8/25/2025,Sunday,1276,$12.15 ,$0.00 ,$0.00 ,$12.15 ,No,5:05 PM,5:33 PM,27,27,13.96,13.75,$15.29 
8/25/2025,Sunday,1277,$12.85 ,$3.80 ,$0.00 ,$9.05 ,No,6:09 PM,6:35 PM,24,26,12.15,12.23,$18.99 
8/25/2025,Sunday,1278,$4.11 ,$0.00 ,$0.00 ,$4.11 ,No,6:35 PM,6:49 PM,13,14,3.88,3.86,$8.66 
8/25/2025,Sunday,1279,$8.01 ,$0.00 ,$1.25 ,$6.76 ,No,6:49 PM,7:12 PM,21,23,7.85,7.73,$11.68 
8/25/2025,Sunday,1280,$9.07 ,$0.00 ,$1.50 ,$7.57 ,No,7:12 PM,7:33 PM,21,21,11.03,11.14,$19.67 
