Date,Day of Week,Ride ID Number, Total Pay , Tip , Bonus ,Booked Time (min),Distance,Stop In Ride,Start Time,End Time, Passenger Pay , Base Pay 
8/22/2025,Friday,1262,$10.10 ,$2.00 ,$2.70 ,19,6,No,4:54:00 PM,5:21:00 PM,$12.94 ,$5.40 
8/22/2025,Friday,1263,$12.16 , $-   ,$5.05 ,24,7.19,No,4:37:00 PM,5:01:00 PM,$9.71 ,$7.11 
8/22/2025,Friday,1264,$10.06 , $-   ,$3.35 ,18,5.12,No,4:19:00 PM,4:37:00 PM,$14.22 ,$6.71 
8/22/2025,Friday,1265,$6.51 ,$1.50 , $-   ,14,2.67,No,4:01:00 PM,4:18:00 PM,$7.00 ,$5.01 
8/22/2025,Friday,1266,$11.17 , $-   ,$3.72 ,19,8.63,No,3:45:00 PM,4:04:00 PM,$16.96 ,$7.45 
8/22/2025,Friday,1267,$7.15 , $-   ,$1.19 ,19,5.79,No,3:26:00 PM,3:45:00 PM,$8.50 ,$5.96 
8/22/2025,Friday,1268,$6.10 , $-   ,$1.02 ,18,7.17,No,3:08:00 PM,3:26:00 AM,$8.99 ,$5.08 
8/23/2025,Saturday,1269,$12.42 ,$1.62 ,$3.75 ,42,9.44,Yes,4:15:00 PM,4:57:00 PM,$18.00 ,$7.05 
8/23/2025,Saturday,1270,$9.08 , $-   ,$3.18 ,21,6.5,No,5:01:00 PM,5:22:00 PM,$16.72 ,$5.90 
8/23/2025,Saturday,1271,$9.29 , $-   ,$1.53 ,25,9.17,No,5:29:00 PM,5:54:00 PM,$14.80 ,$7.76 
8/23/2025,Saturday,1272,$16.17 ,$10.00 ,$1.03 ,22,6.8,No,5:54:00 PM,6:15:00 PM,$11.96 ,$5.14 
8/23/2025,Saturday,1273,$20.27 ,$4.75 ,$1.37 ,36,17.16,No,6:23:00 PM,6:59:00 PM,$20.27 ,$14.15 
8/23/2025,Saturday,1274,$3.44 , $-   , $-   ,11,1.67,No,6:49:00 PM,7:10:00 PM,$7.94 ,$3.44 
8/19/2025,Tuesday,1261,$5.42 , $-   ,$1.25 ,17,5.15,No,2:44:00 PM,3:01:00 PM,$12.66 ,$4.17 
8/19/2025,Tuesday,1260,$11.28 , $-   ,$2.55 ,30,11.6,No,3:26:00 PM,3:56:00 PM,$19.81 ,$8.73 
8/19/2025,Tuesday,1259,$8.11 , $-   ,$4.95 ,11,2.74,No,3:57:00 PM,4:08:00 PM,$8.55 ,$3.16 
8/19/2025,Tuesday,1258,$12.12 , $-   ,$2.02 ,36,12.79,No,4:10:00 PM,4:45:00 PM,$23.78 ,$10.10 
8/19/2025,Tuesday,1257,$7.24 , $-   ,$4.54 ,13,4.12,No,4:55:00 PM,5:08:00 PM,$9.92 ,$2.70 
8/15/2025,Friday,1255,$5.14 , $-   ,$0.86 ,13,4.75,No,9:32:00 PM,9:45:00 PM,$11.66 ,$4.28 
8/15/2025,Friday,1254,$6.36 , $-   ,$1.03 ,28,10.1,No,9:45:00 PM,10:13:00 PM,$14.84 ,$5.33 
